class_folder,n_images,edge_mass_mean,com_distance_mean_px,n_flagged,flagged_pct
.ipynb_checkpoints,15,0.3926287566622098,4.273297545840526,3,0.2
D_interpolatus,60,0.3982740714525183,3.4154335065488155,14,0.23333333333333334
D_interpolatus_resized_gray,55,0.40029461722482335,3.5844756993379954,14,0.2545454545454545
D_interpolatus_test,5,0.3601820141077042,4.027171317356385,1,0.2
E_simplicidens,60,0.47712052658510706,6.051526821167213,28,0.4666666666666667
E_simplicidens_resized_gray,55,0.478585712518543,6.240736320580577,26,0.4727272727272727
E_simplicidens_test,5,0.44433974251151087,6.013231742463522,2,0.4
Mesohippus_sp,60,0.3864561252295971,3.1889823872884846,13,0.21666666666666667
Mesohippus_sp_resized_gray,55,0.36814142275940287,3.073445880325464,10,0.18181818181818182
Mesohippus_sp_test,5,0.4283657163381577,5.271025636611137,1,0.2
N_aztecus,60,0.37484798232714334,2.3383169448291903,3,0.05
N_aztecus_resized_gray,55,0.36518225371837615,2.235188214550205,1,0.01818181818181818
N_aztecus_test,5,0.32371610403060913,3.2197831511253057,0,0.0
P_leonensis,60,0.6600384946912528,6.6662536902612946,39,0.65
P_leonensis_resized_gray,55,0.6379022665999152,6.364621580886308,34,0.6181818181818182
P_leonensis_test,5,0.48177276402711866,8.159001513323712,2,0.4
S_sandrae,60,0.5820214107632637,2.717666585632707,42,0.7
S_sandrae_resized_gray,55,0.5644062361933968,2.593480049555167,36,0.6545454545454545
S_sandrae_test,5,0.6384809494018555,3.4745793612015143,5,1.0
