class_folder,n_images,edge_mass_mean,com_distance_mean_px,n_flagged,flagged_pct
D_interpolatus_resized_gray,55,0.35259042646397243,3.295833931788407,12,0.21818181818181817
E_simplicidens_resized_gray,55,0.5955847568809987,6.497838289716442,38,0.6909090909090909
Mesohippus_sp_resized_gray,55,0.4628186830065467,7.664158711149043,25,0.45454545454545453
N_aztecus_resized_gray,55,0.44615883312442084,2.5709453538222564,9,0.16363636363636364
P_leonensis_resized_gray,55,0.10549489903179082,5.359578050105414,1,0.01818181818181818
S_sandrae_resized_gray,55,0.48775902986526487,6.310976716205278,31,0.5636363636363636
